"","county_no","USPS","county_fips","NAME","latP","lonP","freq","nS_past","nS_future","isWeibull_past","uS_past","scale_past","isWeibull_future","uS_future","scale_future","NTC_1","NTC_2","lambda_past","lambda_future","shp_past","shp_future"
"1",1,"AL","01001","Autauga County",32.532237,-86.64644,0.535975021307907,797,954,0,33.593659547352,2.61103922632914,0,30.9308842608822,3.44631979736528,23.7795719333693,3.49460568965124,0.021546751693902,0.0247200219471152,0.0944621290975896,0.0335889539997227
"2",2,"AL","01003","Baldwin County",30.659218,-87.746067,0.608695250329583,905,1086,0,30.1829310735981,5.9649191076084,0,32.1510754528633,6.27003260169389,23.7353638783604,3.4723639755917,0.0814736548425668,0.0795899866913451,0.098624652526257,0.0995667188551018
"3",3,"AL","01005","Barbour County",31.870253,-85.405104,0.618121946684244,918,1104,1,36.5229481649219,3.95762124086683,0,29.5648190340849,3.47086463892555,23.623493505611,3.49877976533009,0.015486727779992,0.051510162223687,-0.2651032774708,0.0537180809030111
"4",4,"AL","01007","Bibb County",33.015893,-87.127148,0.472681488640893,704,840,1,34.6841463594499,4.44074160559828,0,33.1579266053322,2.79022348269201,23.8675140897811,3.49160250837271,0.0148133917895576,0.0123797532739281,-0.531100749210767,0.0536228011503195
"5",5,"AL","01009","Blount County",33.977358,-86.56644,0.346094423306865,515,618,1,28.0563359097661,3.51332537547677,0,20.6356958228965,3.38608891747492,23.9540566409958,3.49019124488251,0.0208734157034675,0.0436818204173713,-0.128870007928833,0.0992683195493654
"6",6,"AL","01011","Bullock County",32.101759,-85.717261,0.596575212159303,886,1062,0,33.8159887411777,3.34340551934652,0,27.8599476061234,3.78723255086948,23.6641749894919,3.49826265550649,0.0269334396173774,0.0612304125474238,0.0985243581948958,0.0729768272298459
"7",7,"AL","01013","Butler County",31.751667,-86.681969,0.584455173989024,869,1044,1,35.757946753843,3.60404448821267,0,30.5885586565284,4.34699412029215,23.7222304733238,3.49153290511732,0.0235667596652053,0.0548626504319199,-0.00212189748620541,0.0964396868559979
"8",8,"AL","01015","Calhoun County",33.770516,-85.827909,0.398614588711408,592,708,1,31.4639781474502,3.55048271108603,0,25.7187428454366,2.22873706315647,23.8461476230536,3.49460288552106,0.0148133917895576,0.0168904486742122,-0.306649383638642,0.0921702570451302
"9",9,"AL","01017","Chambers County",32.915504,-85.394032,0.547421724024282,814,978,0,31.5551344430856,2.90296871105341,0,25.9567273903686,4.03804979939537,23.6915458359394,3.50151609149386,0.0276067756078119,0.0654891019538251,0.0936772253712605,0.0477664098161745
"10",10,"AL","01019","Cherokee County",34.069515,-85.654242,0.32252768242021,480,576,0,27.2960009298124,3.22295905287606,0,20.1814497805368,2.88952424039513,23.8605646113298,3.49330489238578,0.0228934236747708,0.0526347259505204,0.088803993942087,0.087406593586904
